"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "JavaScript JSX", "CSS", "JSON with Comments", "XML", "C#", "Properties", "comment", "blank", "total"
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\CheckboxContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 3, 30
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\FormHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\InitialInputs.css", "CSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\InitialInputs.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 5, 46
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\PeriodAndTemperature.css", "CSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\PeriodAndTemperature.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 4, 43
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\StepBar.css", "CSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\StepBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\UploadContainer.css", "CSS", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 9, 85
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\UploadContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 3, 11, 102
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\ArcelikLoading.css", "CSS", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 6, 7, 91
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\ArcelikLoading.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\LoadingLayer.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 37
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\LoadingLayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 3, 32
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Main\ContentData.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 2, 104
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Main\Main.css", "CSS", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 12, 103
